nx	ny	nz	n2x	n2y	n2z	class_view
c	c	c	c	c	c	d
						class
0.805853	-0.556251	-0.202942	0.801659	-0.476116	-0.361464	window
-0.974633	-0.127442	-0.183979	-0.983034	-0.111113	-0.145939	robot
0.119534	-0.295368	-0.947876	-0.205968	-0.065618	-0.976356	vent
0.819495	-0.571831	-0.037919	-0.433045	0.349092	-0.831028	window
-0.352172	-0.658373	-0.665222	-0.745120	0.240279	-0.622143	window
0.828231	-0.531543	-0.177471	-0.810501	0.472607	-0.346021	robot
-0.951697	-0.137616	-0.274470	-0.966273	-0.107083	-0.234201	robot
-0.129670	0.376515	-0.917291	-0.168278	-0.225646	-0.959566	vent
0.806733	-0.587820	-0.060407	0.825641	-0.429507	-0.365843	vent
-0.390522	-0.646507	-0.655378	-0.617371	0.283287	-0.733895	robot
0.836351	-0.532280	-0.131129	0.816532	-0.492990	-0.300395	vent
-0.921906	-0.161181	-0.352294	-0.935842	-0.141429	-0.322796	vent
-0.167039	0.621878	-0.765092	0.278241	0.427504	-0.860129	robot
0.121943	0.519333	-0.845827	-0.268869	0.348548	-0.897900	eachother
-0.445891	-0.606743	-0.658061	-0.692951	-0.649310	-0.313395	vent
0.821259	-0.565304	-0.077242	-0.800850	0.545832	-0.246385	vent
-0.920949	0.158179	-0.356135	-0.935091	-0.175368	-0.307980	vent
-0.600523	-0.740590	-0.301495	0.357727	-0.707224	-0.609809	vent
0.839620	-0.540845	-0.050256	-0.377063	0.276843	-0.883844	vent
-0.423280	-0.604057	-0.675240	-0.679144	-0.660167	-0.320846	vent
0.796872	-0.550728	-0.248382	0.771667	-0.535767	-0.342760	vent
-0.157620	-0.306563	-0.938709	-0.972204	0.136686	-0.190096	vent
-0.529573	-0.709628	-0.464737	0.399303	-0.671089	-0.624657	vent
0.830823	-0.555376	-0.035933	0.844009	-0.366696	-0.391386	vent
-0.514675	0.523847	-0.678744	-0.781111	-0.519814	-0.345918	vent
0.792768	-0.568565	-0.219667	0.792456	-0.543404	-0.276996	eachother
-0.127014	-0.273981	-0.953311	-0.982358	0.106921	-0.153428	vent
-0.419806	-0.568208	-0.707744	0.484508	-0.681167	-0.548875	vent
0.811629	-0.583872	-0.018740	-0.457051	0.289746	-0.840923	vent
-0.501429	0.549582	-0.668228	-0.791648	-0.515818	-0.327452	vent
